Comune;Provincia;Nome italiano rifugio;Nome tedesco rifugio;Altitudine in metri;Proprietà;Telefono;E-Mail;Internet;Gruppo
DOBBIACO;BOLZANO;A. Locatelli - S. Innerkofler;Drei-Zinnen-Hütte;2405;C.A.I.;0474-972002;dreizinnenhuette@rolmail.net;www.dreizinnenhuette.com;Dolomiti di Sesto
DOBBIACO;BOLZANO;Bonner;Bonnerhütte;2340;Comune Dobbiaco;340-9428264;info@bonnerhuette.it;www.bonnerhuette.it;Dolomiti di Sesto
FIE' ALLO SCILIAR;BOLZANO;Bolzano al Monte Pez;Schlernhaus;2450;C.A.I.;0471-612024;info@schlernhaus.it;www.schlernhaus.it;Catinaccio - Sciliar - Sassolungo
FORTEZZA;BOLZANO;Puntleider-Alm-Hütte;Malga Pontelletto;1777;Privato;349-6442391;;;Monti Sarentini
FUNES;BOLZANO;Genova;Schlüter-Hütte;2297;Provincia Autonoma di Bolzano;0472-840132;info@schlueterhuette.com;www.schlueterhuette.com;Odle - Puez - Sella
FUNES;BOLZANO;Malga Brogles;Brogles-Hütte;2045;Privato;0471-655642;;;Odle - Puez - Sella
LUSON;BOLZANO;Prato Croce;Kreuzwiese-Hütte;1924;Privato;0472-413714;info@kreuzwiesenalm.com;www.kreuzwiesenalm.com;Odle - Puez - Sella
MALLES VENOSTA;BOLZANO;Oberettes;Oberettes-Hütte;2670;AVS;0473-830280;info@oberettes.it;www.oberettes.it;Sesvenna - Alpi Venoste e Stubai - Tessa
MALLES VENOSTA;BOLZANO;Sesvenna;Sesvenna-Hütte;2256;AVS;0473-830234;info@sesvenna.it;www.sesvenna.it;Sesvenna - Alpi Venoste e Stubai - Tessa
MAREBBE;BOLZANO;Fanes;Fanes-Hütte;2060;Privato;0474-501097;info@rifugiofanes.com;www.rifugiofanes.com;Fanes - Sennes
MAREBBE;BOLZANO;Fodara Vedla;Fodara-Vedla-Hütte;1965;Privato;0474-501093;rifugio@fodara.it;www.fodara.it;Fanes - Sennes
MAREBBE;BOLZANO;Lavarella;La-Varella-Hütte;2042;Privato;0474-501079;rifugio@lavarella.it;www.lavarella.it;Fanes - Sennes
MAREBBE;BOLZANO;Munt de Sennes;Munt de Sennes;2200;Privato;0474-501311;info@muntdesennes.com;www.muntdesennes.com;Fanes - Sennes
MAREBBE;BOLZANO;Sennes;Sennes-Hütte;2176;Privato;0474-501092;info@sennes.com;www.sennes.com;Fanes - Sennes
MARTELLO;BOLZANO;Lifi Alm;Lifi-Alm-Hütte;2165;Comune di Martello;0473-744708;info@lyfialm.it;www.lyfialm.it;Ortles - Mendola
MARTELLO;BOLZANO;Martello;Marteller-Hütte;2610;AVS;0473-744790;info@martellerhuette.com;www.martellerhuette.com;Ortles - Mendola
MARTELLO;BOLZANO;Nino Corsi;Zufall-Hütte;2265;Provincia Autonoma di Bolzano;0473-744785;info@zufallhuette.com;www.zufallhuette.com;Ortles - Mendola
MOSO IN PASSIRIA;BOLZANO;Hochalm;Hochalm-Hütte;2174;Privato;348-4110362;f.gufler@gmx.net;www.13rifugi.com;Sesvenna - Alpi Venoste e Stubai - Tessa
MOSO IN PASSIRIA;BOLZANO;Monteneve;Schneeberg-Hütte;2355;Provincia Autonoma di Bolzano;0473-647045;info@schneeberg.org;www.monteneve.org;Sesvenna - Alpi Venoste e Stubai - Tessa
MOSO IN PASSIRIA;BOLZANO;Petrarca all'Altissima;Stettiner-Hütte;2875;Provincia Autonoma di Bolzano;0473-646789;stettiner@13h.de;www.13rifugi.com;Sesvenna - Alpi Venoste e Stubai - Tessa
MOSO IN PASSIRIA;BOLZANO;Plan;Zwickauer-Hütte;2979;Provincia Autonoma di Bolzano;0473-646002;zwickauerhuette@13h.de;www.13rifugi.com;Sesvenna - Alpi Venoste e Stubai - Tessa
ORTISEI;BOLZANO;Rasciesa;Raschötz-Hütte;2170;Comune Ortisei;333-3380868;info@rifugioresciesa.com;www.rifugioresciesa.com;Odle - Puez - Sella
PARCINES;BOLZANO;Cima Fiammante;Lodner-Hütte;2262;Provincia Autonoma di Bolzano;0473-967367;;;Sesvenna - Alpi Venoste e Stubai - Tessa
PARCINES;BOLZANO;Hochgang;Hochganghaus;1834;Privato;0473-443310;erlacher@hochganghaus.it;www.hochganghaus.it;Sesvenna - Alpi Venoste e Stubai - Tessa
PARCINES;BOLZANO;Nassereto;Nassereith-Hütte;1523;Interessenza Ziel-Alm;0473-968222
340-4941347;info@nasereit.com;www.nasereit.com;Sesvenna - Alpi Venoste e Stubai - Tessa
PREDOI;BOLZANO;Brigata Tridentina;Birnlücken-Hütte;2441;Provincia Autonoma di Bolzano;0474-654140;info@pension-knappenhof.com;www.pension-knappenhof.com;Alpi Aurine - Vedrette di Ries
PREDOI;BOLZANO;Giogo Lungo;Lenkjöchl-Hütte;2590;Provincia Autonoma di Bolzano;0474-654144;info@lenkl.com;www.lenkl.com;Alpi Aurine - Vedrette di Ries
RACINES;BOLZANO;Cima Libera;Müller-Hütte;3148;Provincia Autonoma di Bolzano;0472-647373
329-2346943;info@muellerhuette.eu;www.muellerhuette.eu;Sesvenna - Alpi Venoste e Stubai - Tessa
RACINES;BOLZANO;G. Biasi al Bicchiere;Becherhaus;3190;Provincia Autonoma di Bolzano;0472-656377;e.pichler@becherhaus.com;www.becherhaus.com;Sesvenna - Alpi Venoste e Stubai - Tessa
RACINES;BOLZANO;Vedretta Pendente;Teplitzer-Hütte;2586;Provincia Autonoma di Bolzano;338-1358371;info@teplitzerhuette.com;www.teplitzerhuette.com;Sesvenna - Alpi Venoste e Stubai - Tessa
RACINES;BOLZANO;Vedretta Piana;Grohmann-Hütte;2254;Provincia Autonoma di Bolzano;348-2400286;;;Sesvenna - Alpi Venoste e Stubai - Tessa
RASUN ANTERSELVA;BOLZANO;Vedretta di Ries;Rieserferner-Hütte;2792;AVS;0474-492125;info@rieserfernerhuette.it;www.rieserfernerhuette.it;Alpi Aurine - Vedrette di Ries
RIO DI PUSTERIA;BOLZANO;Bressanone;Brixner-Hütte;2300;AVS;0472-547131;info@brixnerhuette.it;www.brixnerhuette.it;Alpi Aurine - Vedrette di Ries
RIO DI PUSTERIA;BOLZANO;Wieser;Wieser-Hütte;1833;Privato;0472-520350;info@schutzhaus-wieserhuette.com;www.schutzhaus-wieserhuette.com;Alpi Aurine - Vedrette di Ries
SAN MARTINO IN BADIA;BOLZANO;Montemuro;Maurerberg-Hütte;2130;Privato;0474-520059;info@maurerberg.it;www.maurerberg.it;Odle - Puez - Sella
SANTA CRISTINA VALGARDENA;BOLZANO;Firenze;Regensburger-Hütte;2037;Provincia Autonoma di Bolzano;0471-796307;info@rifugiofirenze.com;www.rifugiofirenze.com;Odle - Puez - Sella
SANTA CRISTINA VALGARDENA;BOLZANO;Vicenza al Sasso Lungo;Langkofelhütte;2253;Provincia Autonoma di Bolzano;0471-792323;;;Catinaccio - Sciliar - Sassolungo
SARENTINO;BOLZANO;Kesselberg;Kesselberg-Hütte;2300;Privato;0473-279477;;;Monti Sarentini
SCENA;BOLZANO;Malga Hinteregg;Hintereggalm;1974;Privato;339-6252609;info@hintereggalm.eu;www.hintereggalm.eu;Monti Sarentini
SCENA;BOLZANO;Picco Ivigna;Ifinger-Hütte;1815;C.A.I.;0473-965111;;;Monti Sarentini
SELVA DEI MOLINI;BOLZANO;Giovanni Porro;Chemnitzer-Hütte;2420;Provincia Autonoma di Bolzano;0474-653244;info@chemnitzerhuette.com;www.chemnitzerhuette.com;Alpi Aurine - Vedrette di Ries
SELVA DEI MOLINI;BOLZANO;Ponte di Ghiaccio;Edelraut-Hütte;2545;Provincia Autonoma di Bolzano;0474-653230;info@edelrauthuette.it;www.edelrauthuette.it;Alpi Aurine - Vedrette di Ries
SELVA DI VAL GARDENA;BOLZANO;Juac;Juac-Hütte;1905;Privato;335-8082321;info@juac.it;www.juac.it;Odle - Puez - Sella
SELVA DI VAL GARDENA;BOLZANO;Toni Demetz;Toni-Demetz-Hütte;2685;Privato;0471-795050
335-6586796;info@tonidemetz.it;www.tonidemetz.it;Catinaccio - Sciliar - Sassolungo
SENALES;BOLZANO;Bella Vista;Schöne-Aussicht-Hütte;2842;Privato;0473-662140;info@schoeneaussicht.it;www.schoeneaussicht.it;Sesvenna - Alpi Venoste e Stubai - Tessa
SENALES;BOLZANO;Similaun;Similaun-Hütte;3018;Privato;0473-669711;info@vent-hotel-post.com;www.vent-hotel-post.com;Sesvenna - Alpi Venoste e Stubai - Tessa
SESTO;BOLZANO;Pian di Cengia;Büllelejoch-Hütte;2528;Privato;337-451517;info@rogger.info;www.rogger.info;Dolomiti di Sesto
SESTO;BOLZANO;Zsigmondy-Comici;Zsigmondy-Comici-Hütte;2224;Provincia Autonoma di Bolzano;0474-710358;info@zsigmondyhuette.com;www.zsigmondyhuette.com;Dolomiti di Sesto
STELVIO;BOLZANO;Aldo e Vanni Borletti;Bergl-Hütte;2188;Provincia Autonoma di Bolzano;;;www.berglhuette.it;Ortles - Mendola
STELVIO;BOLZANO;Città di Milano;Schaubach-Hütte;2581;Provincia Autonoma di Bolzano;0473-613002;info@schaubachhuette.it;www.schaubachhuette.it;Ortles - Mendola
STELVIO;BOLZANO;Coston;Hintergrat-Hütte;2661;Privato;0473-613188;info@hintergrathuette.com;www.hintergrathuette.com;Ortles - Mendola
STELVIO;BOLZANO;Julius Payer;Payer-Hütte;3020;Provincia Autonoma di Bolzano;0473-613010;;www.payerhuette.com;Ortles - Mendola
STELVIO;BOLZANO;Serristori;Düsselldorfer-Hütte;2721;Provincia Autonoma di Bolzano;0473-613115;info@duesseldorferhuette.com;www.duesseldorferhuette.com;Ortles - Mendola
STELVIO;BOLZANO;Tabaretta;Tabaretta-Hütte;2556;Privato;347-2614872;info@tabaretta.com;www.tabaretta.com;Ortles - Mendola
TERENTO;BOLZANO;Lago della Pausa;Tiefrasten-Hütte;2312;AVS;0474-554999;info@tiefrastenhuette.it;www.tiefrastenhuette.it;Alpi Aurine - Vedrette di Ries
TERMENO SULLA STRADA DEL VINO;BOLZANO;Oltradige al Roen;Überetscher-Hütte;1973;C.A.I.;0471-812031;info@rifugioroen.it;www.rifugioroen.it;Ortles - Mendola
TIRES;BOLZANO;Alpe di Tires;Tierser Alpl;2440;Privato;0471-727958;info@tierseralpl.com;www.tierseralpl.com;Catinaccio - Sciliar - Sassolungo
TIRES;BOLZANO;Bergamo;Grasleiten-Hütte;2134;Provincia Autonoma di Bolzano;0471-642103;grasleitenhuette@tiersertal.com;www.tiersertal.com/grasleiten;Catinaccio - Sciliar - Sassolungo
TIRES;BOLZANO;Passo Santner;Santnerpass-Hütte;2734;Privato;340-6562228;CHIUSO;CHIUSO;Catinaccio - Sciliar - Sassolungo
TIRES;BOLZANO;Rè Alberto;Gartl-Hütte;2621;Privato;0462-763428;info@rifugiorealberto.com;www.rifugiorealberto.com;Catinaccio - Sciliar - Sassolungo
TIRES;BOLZANO;Tschafon (Monte Cavone);Tschafon-Hütte;1733;Privato;347-6586796;info@schutzhaus.tschafon.com;www.schutzhaus-tschafon.com;Catinaccio - Sciliar - Sassolungo
TIROLO;BOLZANO;Bocker;Bocker-Hütte;1717;Interessenza Spronser Alp;0473-945544;;www.bockerhuette.com;Sesvenna - Alpi Venoste e Stubai - Tessa
TIROLO;BOLZANO;Oberkaser;Oberkaser-Hütte;2135;Interessenza Spronser Alp;0473-923488;;www.dorftirol.com/oberkaseralm;Sesvenna - Alpi Venoste e Stubai - Tessa
ULTIMO;BOLZANO;U. Canziani;Höchster-Hütte;2560;C.A.I.;0473-798120;info@rifugiocanziani.it;www.rifugiocanziani.it;Ortles - Mendola
VAL DI VIZZE;BOLZANO;Gran Pilastro;Hochfeiler-Hütte;2710;AVS;0472-646071;info@hochfeilerhuette.it;www.hochfeilerhuette.it;Alpi Aurine - Vedrette di Ries
VAL DI VIZZE;BOLZANO;Rifugio Passo di Vizze;Pfitscherjoch;2276;Privato;0472-630119;office@pfitscherjochhaus.com;www.pfitscherjochhaus.com;Alpi Aurine - Vedrette di Ries
VAL DI VIZZE;BOLZANO;Venna alla Gerla;Landshuterh. (Europah.);2690;C.A.I.;0472-646076;info@europahuette.it;www.europahuette.it;Alpi Aurine - Vedrette di Ries
VAL DI VIZZE;BOLZANO;Vipiteno;Sterzinger-Hütte;2344;AVS;0472-646074;;www.sterzingerhuette.it;Alpi Aurine - Vedrette di Ries
VALLE AURINA;BOLZANO;Vitt.Veneto Sasso Nero;Schwarzenstein-Hütte;2922;Provincia Autonoma di Bolzano;;knapp@rolmail.net;www.schwarzensteinhuette.com;Alpi Aurine - Vedrette di Ries
VARNA;BOLZANO;Forcella Vallaga;Flaggerscharten-Hütte;2481;Provincia Autonoma di Bolzano;0471-625251;info@flaggerschartenhuette.com;www.flaggerschartenhuette.com;Monti Sarentini
VELTURNO;BOLZANO;Lago Rodella;Radlsee-Hütte;2284;AVS;0472-855230;info@radlseehuette.it;www.radlseehuette.it;Monti Sarentini
